id,disturbanc,X_32636,Y_32636,mag,dur,shape,area,inter,disturbance_code
281,wildfire,253878.2721,5687711.514,607,1,14.15481,3781.08008,0.00544,3
282,wildfire,254522.8016,5688086.688,427,1,14.15481,3781.08008,0.0015,3
283,wildfire,254772.9176,5689106.391,312,1,14.15481,3781.08008,0.00971,3
284,wildfire,252069.7415,5685229.594,789,1,14.15481,3781.08008,0.00366,3
285,wildfire,250617.1451,5686990.026,742,1,14.15481,3781.08008,0.00518,3
286,wildfire,255542.5051,5686893.827,832,1,14.15481,3781.08008,0.01537,3
287,wildfire,256023.4972,5686432.075,573,1,14.15481,3781.08008,0.01818,3
288,wildfire,257880.1271,5686557.133,469,1,14.15481,3781.08008,0.02307,3
289,wildfire,254772.9176,5685681.727,728,1,14.15481,3781.08008,0.01384,3
290,wildfire,249337.7059,5686999.646,709,1,14.15481,3781.08008,0.00295,3
291,wildfire,252194.7995,5687740.374,429,1,14.15481,3781.08008,0.00404,3
292,wildfire,249145.3091,5688125.167,520,1,14.15481,3781.08008,0.00471,3
293,wildfire,256187.0346,5687769.233,451,1,14.15481,3781.08008,0.0163,3
294,wildfire,250011.095,5688808.176,504,1,14.15481,3781.08008,0.00595,3
295,wildfire,253964.8507,5684844.801,729,1,14.15481,3781.08008,0.01161,3
296,wildfire,251175.0961,5685681.727,672,1,14.15481,3781.08008,0.00369,3
297,wildfire,251357.8731,5687624.935,624,1,14.15481,3781.08008,8.2e-4,3
298,wildfire,250318.93,5689741.301,318,1,14.15481,3781.08008,0.00182,3
299,wildfire,251935.0637,5688875.515,481,1,14.15481,3781.08008,0.007,3
300,wildfire,253368.4204,5689904.838,382,1,14.15481,3781.08008,0.01104,3
301,wildfire,272030.917,5689164.11,601,1,2.38305,32.04,0.03699,3
302,wildfire,271992.4376,5688481.101,515,1,9.5365,167.49001,0.04332,3
303,wildfire,273502.7531,5687538.357,671,1,3.40637,25.2,0.05218,3
304,wildfire,275792.2758,5688173.266,688,1,5.42056,208.62,0.04512,3
305,wildfire,275455.5813,5687336.34,689,1,5.42056,208.62,0.05314,3
306,wildfire,275917.3338,5687249.762,726,1,5.42056,208.62,0.05296,3
307,wildfire,277042.8555,5688202.126,688,1,6.15982,182.61,0.04416,3
308,wildfire,277870.1621,5687624.935,752,1,6.15982,182.61,0.04805,3
309,wildfire,274589.7954,5688711.978,620,1,5.17557,96.48,0.04166,3
310,wildfire,279274.6592,5691155.418,520,1,8.28358,179.46001,0.04635,3
311,wildfire,279197.7005,5691934.625,634,1,8.28358,179.46001,0.0448,3
312,wildfire,282574.2656,5691751.848,818,2,15.53052,1456.92004,0.03663,3
313,wildfire,283488.1507,5690193.434,357,1,15.53052,1456.92004,0.05036,3
314,wildfire,283180.3157,5689520.045,860,1,15.53052,1456.92004,0.06206,3
315,wildfire,284911.8876,5690049.136,541,1,15.53052,1456.92004,0.06891,3
316,wildfire,283593.969,5688962.094,501,1,15.53052,1456.92004,0.07064,3
317,wildfire,282843.6212,5688028.969,631,1,15.53052,1456.92004,0.09093,3
318,wildfire,283440.0515,5688163.647,381,1,15.53052,1456.92004,0.0905,3
319,wildfire,285152.3837,5690482.029,650,1,15.53052,1456.92004,0.07155,3
319,wildfire,285315.921,5689568.144,825,1,15.53052,1456.92004,0.08181,3
320,wildfire,277995.22,5688644.639,646,2,10.43733,163.89,0.00469,3
321,wildfire,280284.7428,5691857.667,769,1,8.28358,179.46001,0.03298,3
322,wildfire,271819.2804,5687297.861,722,1,9.5365,167.49001,0.04825,3
323,wildfire,271299.8089,5688327.184,648,1,9.5365,167.49001,0.04216,3
324,wildfire,272915.9426,5689529.664,778,1,2.86802,34.92,0.03339,3
325,wildfire,275041.928,5687240.142,371,1,2,1.44,0.05337,3
326,wildfire,278620.5099,5686739.91,323,1,1.66667,0.81,0.03455,3
327,wildfire,283170.6959,5687394.059,412,1,15.53052,1456.92004,0.10212,3
328,wildfire,283324.6134,5693089.007,522,1,15.53052,1456.92004,0.04671,3
329,wildfire,282766.6624,5692482.956,375,1,15.53052,1456.92004,0.04311,3
330,wildfire,283517.0103,5692790.791,656,1,15.53052,1456.92004,0.0441,3
331,wildfire,283363.0928,5691549.832,590,1,15.53052,1456.92004,0.01172,3
332,wildfire,284257.7382,5691222.757,610,1,15.53052,1456.92004,0.04574,3
333,wildfire,282882.1006,5693743.156,426,1,15.53052,1456.92004,0.04556,3
334,wildfire,284026.862,5693714.296,383,1,15.53052,1456.92004,0.04456,3
335,wildfire,282776.2823,5691501.732,450,1,15.53052,1456.92004,0.03631,3
337,wildfire,282497.3068,5690183.814,855,1,15.53052,1456.92004,0.05821,3
338,wildfire,282968.6792,5688269.465,988,1,15.53052,1456.92004,0.08727,3
339,wildfire,284815.6891,5689693.202,868,1,15.53052,1456.92004,0.06658,3
340,wildfire,283401.5721,5689144.871,947,1,15.53052,1456.92004,0.06706,3
341,wildfire,312790.1943,5674012.857,800,1,13.73948,3055.05005,0.03092,3
342,wildfire,311924.4084,5673445.286,794,1,13.73948,3055.05005,0.0348,3
343,wildfire,312261.1029,5671954.21,825,1,13.73948,3055.05005,0.0279,3
344,wildfire,312828.6737,5671011.466,916,1,13.73948,3055.05005,0.02182,3
345,wildfire,313675.2199,5670761.35,858,1,13.73948,3055.05005,0.02334,3
346,wildfire,313607.881,5671434.739,758,1,13.73948,3055.05005,0.0046,3
345,wildfire,311568.4742,5670193.779,886,1,13.73948,3055.05005,0.03228,3
346,wildfire,312819.0538,5671790.673,810,1,13.73948,3055.05005,0.00399,3
347,wildfire,310077.3984,5671405.879,824,1,13.73948,3055.05005,0.02393,3
350,wildfire,309452.1086,5670299.597,857,1,13.73948,3055.05005,0.04113,3
351,wildfire,312184.1442,5669789.745,908,1,13.73948,3055.05005,0.02402,3
352,wildfire,313338.5254,5670366.936,844,1,13.73948,3055.05005,0.02404,3
353,wildfire,312809.434,5668587.265,847,1,13.73948,3055.05005,0.0319,3
354,wildfire,313059.5499,5667673.38,668,1,13.73948,3055.05005,0.0327,3
355,wildfire,314925.7996,5669683.927,426,1,13.73948,3055.05005,0.02817,3
356,wildfire,313530.9223,5667557.942,582,1,13.73948,3055.05005,0.03144,3
357,wildfire,314271.6502,5671213.482,606,1,13.73948,3055.05005,0.02019,3
359,wildfire,314541.0059,5672387.103,463,1,13.73948,3055.05005,0.01981,3
360,wildfire,312193.764,5671117.284,790,1,13.73948,3055.05005,0.02878,3
361,wildfire,310683.4486,5667355.925,550,1,13.73948,3055.05005,0.03548,3
362,wildfire,315608.8085,5669125.976,516,1,13.73948,3055.05005,0.01414,3
363,wildfire,309192.3728,5669135.596,793,1,13.73948,3055.05005,0.04303,3
364,wildfire,313972.2326,5674372.398,627,1,13.73948,3055.05005,0.02529,3
365,wildfire,312471.537,5670303.205,820,1,13.73948,3055.05005,0.00979,3
366,wildfire,312538.8759,5672515.769,748,1,13.73948,3055.05005,0.02977,3
